user=0 
  Last 24 hour events (timeRange="1/23/2019, 11:27 AM – 1/24/2019, 11:27 AM" )
    time="2019-01-23 15:28:46" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 15:29:06" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 15:38:46" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 15:39:06" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 15:48:46" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 15:49:06" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 15:58:46" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 15:59:06" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 16:08:46" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 16:09:07" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 16:18:46" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 16:19:07" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 16:28:46" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 16:29:07" type=NOTIFICATION_INTERRUPTION package=android flags=0x0 
    time="2019-01-23 16:39:44" type=MOVE_TO_BACKGROUND package=com.google.android.apps.nexuslauncher class=com.google.android.apps.nexuslauncher.NexusLauncherActivity flags=0x0 
    time="2019-01-23 16:39:44" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.ui.MailActivityGmail flags=0x0 
    time="2019-01-23 16:39:53" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.ui.MailActivityGmail flags=0x0 
    time="2019-01-23 16:39:53" type=MOVE_TO_FOREGROUND package=com.android.settings class=com.android.settings.Settings$AccountDashboardActivity flags=0x0 
    time="2019-01-23 16:40:03" type=MOVE_TO_BACKGROUND package=com.android.settings class=com.android.settings.Settings$AccountDashboardActivity flags=0x0 
    time="2019-01-23 16:40:03" type=MOVE_TO_FOREGROUND package=com.google.android.apps.nexuslauncher class=com.google.android.apps.nexuslauncher.NexusLauncherActivity flags=0x0 
    time="2019-01-23 16:40:05" type=MOVE_TO_BACKGROUND package=com.google.android.apps.nexuslauncher class=com.google.android.apps.nexuslauncher.NexusLauncherActivity flags=0x0 
    time="2019-01-23 16:40:05" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.ui.MailActivityGmail flags=0x0 
    time="2019-01-23 16:40:09" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.ui.MailActivityGmail flags=0x0 
    time="2019-01-23 16:40:09" type=MOVE_TO_FOREGROUND package=com.android.settings class=com.android.settings.Settings$AccountDashboardActivity flags=0x0 
